Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
0.0487131,0.121578,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0487131,0.0915591,-0.012181,-0.0075069,0.0536083,0.00525447
0.0487131,0.0915591,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0795513,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.171861,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.135087,-0.0146172,-0.00675621,0.0536083,0.00525447
0.0511488,0.0938106,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.0938106,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0765494,-0.012181,-0.0075069,0.0536083,0.00525447
0.0487131,0.161354,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.13884,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.094561,-0.012181,-0.0075069,0.0536083,0.00525447
0.0487131,0.094561,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,-0.0622902,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0487131,0.177865,-0.0146172,-0.0075069,0.0536083,0.00525447
0.0511488,0.122329,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.0885572,-0.012181,-0.0075069,0.0536083,0.00525447
0.0511488,0.0885572,-0.012181,-0.0075069,0.0536083,0.00525447
